open,high,low,close,volume,date,headline_count,pct_change,rolling_avg_close,volatility,anomaly_flag
258.94,273.135,258.28,271.63,9719927.0,2026-06-26,0.0,5.172881093429371,262.004,7.277762705667076,False
274.3,278.15,269.06,278.0,6464204.0,2026-06-29,0.0,2.3451017928800333,267.16,7.7312191794048575,False
273.21,282.5694,271.12,281.21,7458360.0,2026-06-30,0.0,1.1546762589927928,270.414,9.729061105779781,False
279.66,294.49,278.96,286.25,6905811.0,2026-07-01,0.0,1.7922548984744546,275.072,10.785991841272482,False
283.14,290.93,282.28,289.52,5950158.0,2026-07-02,0.0,1.1423580786026122,281.322,7.0084855710771095,False
288.345,300.8199,287.65,299.52,7181525.0,2026-07-06,0.0,3.4539928156949395,286.9,8.338725921865759,False
305.66,311.8,300.4901,306.13,8618569.0,2026-07-07,0.0,2.206864316239332,292.526,10.129917571234028,False
300.77,303.82,295.59,302.05,7416749.0,2026-07-08,0.0,-1.332767125077572,296.694,8.459528946696482,False
285.835,297.2838,284.4381,295.3,10841979.0,2026-07-09,0.0,-2.2347293494454523,298.504,6.378481794282682,False
297.26,298.77,287.5,287.56,3640089.0,2026-07-10,0.0,-2.6210633254317717,298.11199999999997,7.089264418823404,False
290.5,297.5,289.1,290.23,5024243.0,2026-07-13,0.0,0.9285018778689702,296.254,7.808862273084065,False
226.365,229.92,213.22,217.07,67440873.0,2026-07-14,0.0,-25.207593977190513,278.442,34.749629782200515,False
220.965,223.813,211.03,211.2,29590356.0,2026-07-15,0.0,-2.7041968028746477,260.27200000000005,42.25976656348207,False
208.82,219.95,204.44,219.05,22533271.0,2026-07-16,0.0,3.7168560606060774,245.02200000000002,40.16538148704673,False
215.62,217.1699,210.22,212.67,13150177.0,2026-07-17,0.0,-2.912577037206132,230.044,33.79533814004523,False
210.07,216.2762,208.82,213.0,9585016.0,2026-07-20,0.0,0.15516998166174023,214.598,3.3071241283016173,False
210.72,214.97,209.18,210.5,11954411.0,2026-07-21,0.0,-1.1737089201877882,213.28400000000002,3.3837154135646084,False
207.68,212.3417,204.73,205.77,14606736.0,2026-07-22,0.0,-2.247030878859857,212.198,4.796307955083231,False
202.64,207.55,199.19,206.65,15306010.0,2026-07-23,0.0,0.42766195266559226,209.71800000000002,3.357703083954074,False
209.28,216.1,206.8,214.19,10578780.0,2026-07-24,0.0,3.6486813452697664,210.022,3.738953062020798,False
217.75,219.63,215.29,216.28,8369433.0,2026-07-27,0.0,0.9757691768990107,210.67799999999997,4.58425239270207,False
219.73,228.98,215.1101,227.55,13262958.0,2026-07-28,0.0,5.210837802848167,214.08800000000002,8.811266651282013,False
227.7,230.97,223.95,226.44,8806699.0,2026-07-29,0.0,-0.4878048780487809,218.22200000000004,8.781894442544527,False
222.0,224.86,220.2,221.74,9675157.0,2026-07-30,7.0,-2.075605016781479,221.24,5.945801039388588,False
221.15,224.76,216.585,223.65,9093613.0,2026-07-31,8.0,0.8613691711012894,223.132,4.461431384656094,False
